food_name,base_calories,base_protein,base_carbs,base_fat,base_fiber,base_sodium,base_sugar,base_cholesterol,serving_size_g
ketchup,30,0.5,6,0,0.5,920,4,0,20
key_lime_pie,320,4,38,16,0,280,28,60,100
kheer,240,6,32,10,0.5,180,20,20,200
khoresht,280,18,24,14,3,720,2,55,350
kielbasa,280,20,2,22,0,820,0,85,100
korean_beef_bowl,380,26,48,10,3,820,4,85,350
kung_pao_chicken,320,28,12,18,2,720,4,95,300
lamb_chops,320,28,0,24,0,380,0,95,250
lasagna,420,20,38,20,2,620,4,85,400
latin_american_platters,480,32,42,20,4,920,2,95,500
lettuce_wraps,120,8,12,6,2,420,2,20,200
lobster_bisque,280,10,18,20,1,680,2,95,300
lobster_roll_sandwich,420,32,32,18,2,950,2,120,300
matzo_ball_soup,180,8,20,8,1,720,2,25,300
meatloaf,320,24,14,20,0.5,620,2,95,300
miso_soup,60,4,6,2,0.5,920,1,0,200
molten_chocolate_cake,420,4,48,24,2,280,32,65,100
mussels,150,20,8,4,0,480,0,50,200
nachos,320,10,28,18,3,720,2,35,250
naan,280,8,42,8,2,520,2,0,150
noodle_soup,220,8,32,6,2,920,2,20,350
nuts,180,6,8,16,2.5,2,2,0,30
omelette,280,18,2,22,0,480,0,310,200
onion_rings,300,4,32,16,2,720,1,20,150
oysters,100,10,6,4,0,380,0,100,150
pad_thai,350,12,42,14,3,820,4,45,350
paella,380,18,48,12,2,820,2,85,400
panna_cotta,300,4,26,22,0,120,20,180,100
panettone,380,6,48,18,2,280,28,80,100
poutine,420,8,48,22,3,920,1,30,350
prime_rib,380,32,0,28,0,420,0,100,250
pulled_pork_sandwich,420,28,38,18,1.5,920,8,95,300
ramen,380,14,52,12,2,1280,2,35,400
ravioli,350,14,44,12,2,620,2,40,300
red_velvet_cake,380,4,48,18,1,380,32,60,100
risotto,380,12,48,14,1.5,720,2,25,350
salmon_sashimi,220,24,0,14,0,280,0,85,150
sashimi,220,24,0,14,0,280,0,85,150
scallops,140,24,4,2,0,380,0,60,200
scrambled_eggs,280,18,2,22,0,480,0,310,200
seaweed_salad,90,4,14,2,2.5,920,2,0,150
seitan_cutlet,220,28,12,8,2,520,0,0,200
shaved_ice_with_syrup,150,0,38,0,0,40,35,0,200
sheekh_kabab,280,28,4,18,0.5,620,0,95,200
shellfish_platter,280,28,12,14,1,820,1,120,350
short_ribs,420,32,0,34,0,380,0,110,250
shrimp_and_grits,380,24,36,16,2,920,2,180,350
shrimp_saganaki,320,28,8,20,1,820,2,210,300
shrimp_tempura,280,14,26,14,1,620,0,180,200
skewers,280,28,4,18,0,620,0,95,200
smoked_salmon,220,24,0,14,0,920,0,85,150
snails,120,16,2,6,0,420,0,85,100
soba_noodles,320,12,64,2,5,520,2,0,200
sole_fillet,240,32,0,12,0,280,0,95,200
solyanka,220,10,16,14,2,920,2,45,300
sorbet,160,0.5,40,0,1,50,35,0,150
soup_dumplings,200,8,24,8,1.5,520,2,35,200
spaghetti_bolognese,380,18,42,16,3,720,4,85,400
spaghetti_carbonara,420,18,48,18,2,720,2,95,400
spanish_paella,380,18,48,12,2,820,2,85,400
spareribs,320,28,0,24,0,680,0,95,150
spring_roll,160,6,18,8,1.5,420,1,20,100
steak,380,32,0,28,0,420,0,100,250
strawberry_shortcake,320,4,42,14,2,280,24,40,150
string_cheese,330,28,2,26,0,780,0,100,100
stuffed_mushrooms,240,8,12,18,1,520,1,25,150
sushi,220,12,36,2,1,480,2,20,200
swordfish,240,32,0,12,0,280,0,85,250
tabbouleh,140,6,18,6,3,420,2,0,200
takoyaki,280,8,28,16,1,720,2,90,150
tamal,240,8,28,12,4,520,1,35,150
tandoori_chicken,280,32,8,14,0,620,1,95,250
tapas,240,12,14,16,1,720,2,45,150
tarte_flambee,320,10,28,18,1.5,820,2,40,300
tater_tots,300,4,32,16,2.5,720,0,10,150
tempura,280,8,28,14,1,620,0,35,200
teriyaki_chicken,320,28,24,12,1,920,8,95,300
teriyaki_bowl,380,20,52,10,2,920,8,45,400
thai_basil_chicken,280,28,12,14,1,720,2,95,300
thai_green_curry,320,18,18,20,3,820,2,45,350
thai_red_curry,320,18,18,20,3,820,2,45,350
thin_crust_pizza,320,12,36,14,2,620,2,30,300
tilapia,240,32,0,12,0,280,0,95,250
tiramisu,320,6,32,18,0.5,180,24,85,100
tomato_mozzarella_salad,150,8,12,8,2,420,5,18,200
tomato_soup,120,4,18,4,2,720,8,10,300
tori_katsu,320,28,18,16,0.5,720,2,95,300
tortellini,350,14,42,12,2,620,2,35,300
tortilla_chips,150,2,18,8,1.5,720,0,0,50
tortilla_soup,220,8,24,10,3,820,2,20,350
traditional_pizza,350,14,38,16,2,620,2,35,300
trifle,380,6,48,18,1,280,32,60,200
turkey_burger,320,32,24,12,2,720,2,75,250
turkey_meatball,260,24,8,14,0.5,620,1,85,150
turkey_tetrazzini,420,28,32,20,2,820,2,85,400
turnip_cake,200,6,24,8,2,520,4,25,150
turtle_soup,160,8,12,8,1.5,920,2,50,300
tuscan_grilled_chicken,280,32,4,14,0,620,1,95,300
twice_cooked_pork,320,24,8,24,1,820,2,90,300
twice_fried_chips,320,4,38,17,3.5,280,0,0,150
udon_noodles,350,12,72,2,2,520,1,0,300
ultimate_nachos,420,12,38,22,4,1280,2,50,350
unagi_nigiri,220,12,28,6,0.5,480,8,80,200
upside_down_cake,340,4,44,16,1,280,28,60,150
vegetable_dumpling,180,6,26,6,3,480,2,10,100
vegetable_fried_rice,280,8,40,10,3,820,2,30,300
vegetable_spring_roll,140,4,18,6,2.5,420,1,5,100
vegetable_tempura,200,4,24,10,3,620,2,10,200
vietnamese_pho,220,12,32,6,2,1280,2,35,500
vietnamese_spring_roll,160,6,18,8,2,420,1,20,100
watermelon_juice,60,1,14,0.2,1,40,12,0,250
watermelon_salad,95,1.5,22,0.5,1.5,120,18,0,300
waffle,280,6,32,14,1.5,480,8,75,120
wasabi_cream,140,2,4,14,0,280,2,85,50
white_chocolate,540,8,54,34,0,80,50,35,100
white_chocolate_mousse,340,4,34,20,0,180,30,95,150
white_bean_soup,180,12,24,4,6,820,2,0,300
whole_grain_bread,280,10,52,4,8,520,4,0,100
whole_wheat_pasta,350,14,70,2,10,2,2,0,100
wild_mushroom_risotto,380,12,48,14,2,720,2,25,350
wild_salmon,280,32,0,16,0,420,0,95,250
wontons,160,8,18,6,1.5,920,2,25,350
yakitori,280,28,8,16,0,620,2,95,200
yam_noodles,320,8,72,0.5,2,520,2,0,200
yams_chips,300,2,36,16,2.5,280,1,0,100
yang_chow_fried_rice,380,12,48,14,2,820,2,45,350
yassa_chicken,300,32,12,14,2,720,2,95,350
yellow_lentil_curry,280,18,32,10,8,720,2,0,350
yemenite_soup,220,10,24,10,3,920,3,20,400
yi_fu_noodles,350,10,52,10,2,920,2,20,350
yinyang_dumplings,200,8,24,8,1.5,520,2,35,200
yogurt_parfait,200,6,32,4,2,180,24,15,200
yolk_soup,140,8,12,7,1,720,2,280,200
zhalkoob_bread,280,8,54,3,2,520,4,0,100
bakso,280,18,24,12,2,850,2,65,350
bika_ambon,380,6,52,16,1.5,420,28,35,100
dadar_gulung,240,4,28,12,1.5,380,16,85,100
kue_cubit,150,2,18,8,0.5,280,12,25,50
nasi_goreng,420,12,52,16,3,920,2,45,350
pepes_ikan,280,24,12,14,2,620,1,95,250
putu_ayu,200,4,32,6,2,420,14,15,100
rendang,380,20,12,28,2,820,1,75,250
sate_ayam,320,28,8,20,1,720,2,95,150
telur_balado,240,14,6,18,1,680,1,280,150
tempe_bacem,180,16,8,10,3,520,0,0,150
