food_name,base_calories,base_protein,base_carbs,base_fat,base_fiber,base_sodium,base_sugar,base_cholesterol,serving_size_g
ketchup,30,0.5,6,0,0.5,920,4,0,20
key_lime_pie,320,4,38,16,0,280,28,60,100
kheer,240,6,32,10,0.5,180,20,20,200
khoresht,280,18,24,14,3,720,2,55,350
kielbasa,280,20,2,22,0,820,0,85,100
korean_beef_bowl,380,26,48,10,3,820,4,85,350
kung_pao_chicken,320,28,12,18,2,720,4,95,300
lam_chops,320,28,0,24,0,380,0,95,250
lamb_chops,320,28,0,24,0,380,0,95,250
lasagna,420,20,38,20,2,620,4,85,400
latin_american_platters,480,32,42,20,4,920,2,95,500
lettuce_wraps,120,8,12,6,2,420,2,20,200
lobster_bisque,280,10,18,20,1,680,2,95,300
lobster_roll_sandwich,420,32,32,18,2,950,2,120,300
matzo_ball_soup,180,8,20,8,1,720,2,25,300
meatloaf,320,24,14,20,0.5,620,2,95,300
miso_soup,60,4,6,2,0.5,920,1,0,200
molten_chocolate_cake,420,4,48,24,2,280,32,65,100
mussels,150,20,8,4,0,480,0,50,200
nachos,320,10,28,18,3,720,2,35,250
naan,280,8,42,8,2,520,2,0,150
nachos_fries,320,10,28,18,3,720,2,35,250
noodle_soup,220,8,32,6,2,920,2,20,350
nuts,180,6,8,16,2.5,2,2,0,30
omelette,280,18,2,22,0,480,0,310,200
onion_rings,300,4,32,16,2,720,1,20,150
oysters,100,10,6,4,0,380,0,100,150
pad_thai,350,12,42,14,3,820,4,45,350
paella,380,18,48,12,2,820,2,85,400
panna_cotta,300,4,26,22,0,120,20,180,100
panettone,380,6,48,18,2,280,28,80,100
panna_cotta,300,4,26,22,0,120,20,180,100
poutine,420,8,48,22,3,920,1,30,350
prime_rib,380,32,0,28,0,420,0,100,250
pulled_pork_sandwich,420,28,38,18,1.5,920,8,95,300
ramen,380,14,52,12,2,1280,2,35,400
ravioli,350,14,44,12,2,620,2,40,300
red_velvet_cake,380,4,48,18,1,380,32,60,100
risotto,380,12,48,14,1.5,720,2,25,350
salmon_sashimi,220,24,0,14,0,280,0,85,150
sashimi,220,24,0,14,0,280,0,85,150
scallops,140,24,4,2,0,380,0,60,200
scoops_of_ice_cream,220,4,26,12,0,120,22,80,100
scrambled_eggs,280,18,2,22,0,480,0,310,200
seaweed_salad,90,4,14,2,2.5,920,2,0,150
seitan_cutlet,220,28,12,8,2,520,0,0,200
shaved_ice_with_syrup,150,0,38,0,0,40,35,0,200
sheekh_kabab,280,28,4,18,0.5,620,0,95,200
shellfish_platter,280,28,12,14,1,820,1,120,350
short_ribs,420,32,0,34,0,380,0,110,250
shrimp_and_grits,380,24,36,16,2,920,2,180,350
shrimp_saganaki,320,28,8,20,1,820,2,210,300
shrimp_tempura,280,14,26,14,1,620,0,180,200
skewers,280,28,4,18,0,620,0,95,200
smoked_salmon,220,24,0,14,0,920,0,85,150
snails,120,16,2,6,0,420,0,85,100
soba_noodles,320,12,64,2,5,520,2,0,200
sole_fillet,240,32,0,12,0,280,0,95,200
solyanka,220,10,16,14,2,920,2,45,300
sorbet,160,0.5,40,0,1,50,35,0,150
soup_dumplings,200,8,24,8,1.5,520,2,35,200
spaghetti_bolognese,380,18,42,16,3,720,4,85,400
spaghetti_carbonara,420,18,48,18,2,720,2,95,400
spanish_tortilla,280,8,22,20,2,420,2,180,250
spanish_paella,380,18,48,12,2,820,2,85,400
spareribs,320,28,0,24,0,680,0,95,150
spinach_and_cheese_ravioli,350,14,44,12,3,620,2,40,300
spring_roll,160,6,18,8,1.5,420,1,20,100
square_pizza,350,14,38,16,2,620,2,35,300
steak,380,32,0,28,0,420,0,100,250
stone_crab_claws,200,24,2,12,0,520,0,80,200
strawberry_shortcake,320,4,42,14,2,280,24,40,150
string_cheese,330,28,2,26,0,780,0,100,100
stuffed_mushrooms,240,8,12,18,1,520,1,25,150
sushi,220,12,36,2,1,480,2,20,200
sushi_roll,220,12,36,2,1,480,2,20,200
swordfish,240,32,0,12,0,280,0,85,250
tabbouleh,140,6,18,6,3,420,2,0,200
takoyaki,280,8,28,16,1,720,2,90,150
tamal,240,8,28,12,4,520,1,35,150
tandoori_chicken,280,32,8,14,0,620,1,95,250
tapas,240,12,14,16,1,720,2,45,150
tarte_flambee,320,10,28,18,1.5,820,2,40,300
tater_tots,300,4,32,16,2.5,720,0,10,150
tempura,280,8,28,14,1,620,0,35,200
teriyaki_chicken,320,28,24,12,1,920,8,95,300
teriyaki_bowl,380,20,52,10,2,920,8,45,400
teriyaki_grill,320,28,24,12,1,920,8,95,300
thai_basil_chicken,280,28,12,14,1,720,2,95,300
thai_green_curry,320,18,18,20,3,820,2,45,350
thai_red_curry,320,18,18,20,3,820,2,45,350
thin_crust_pizza,320,12,36,14,2,620,2,30,300
tilapia,240,32,0,12,0,280,0,95,250
tiramisu,320,6,32,18,0.5,180,24,85,100
tomato_mozzarella_salad,150,8,12,8,2,420,5,18,200
tomato_soup,120,4,18,4,2,720,8,10,300
tori_katsu,320,28,18,16,0.5,720,2,95,300
tortellini,350,14,42,12,2,620,2,35,300
tortilla_chips,150,2,18,8,1.5,720,0,0,50
tortilla_soup,220,8,24,10,3,820,2,20,350
traditional_pizza,350,14,38,16,2,620,2,35,300
triangles,200,8,20,10,1,420,1,20,100
trifle,380,6,48,18,1,280,32,60,200
trippa,280,24,8,18,0.5,520,1,180,300
triple_chocolate_mousse,380,4,42,22,2,180,30,95,150
tuna_tartare,220,28,2,12,0,420,0,85,150
turkey_burger,320,32,24,12,2,720,2,75,250
turkey_cranberry_sandwich,380,28,38,14,2,820,8,65,300
turkey_meatball,260,24,8,14,0.5,620,1,85,150
turkey_tetrazzini,420,28,32,20,2,820,2,85,400
turnip_cake,200,6,24,8,2,520,4,25,150
turtle_soup,160,8,12,8,1.5,920,2,50,300
tuscan_grilled_chicken,280,32,4,14,0,620,1,95,300
twice_cooked_pork,320,24,8,24,1,820,2,90,300
twice_fried_chips,320,4,38,17,3.5,280,0,0,150
twine_bread,240,8,44,3,3,520,2,0,150
tzatziki,120,6,8,8,0.5,420,2,15,100
udon_noodles,350,12,72,2,2,520,1,0,300
ultimate_nachos,420,12,38,22,4,1280,2,50,350
unagi_nigiri,220,12,28,6,0.5,480,8,80,200
upside_down_cake,340,4,44,16,1,280,28,60,150
vegetable_dumpling,180,6,26,6,3,480,2,10,100
vegetable_fried_rice,280,8,40,10,3,820,2,30,300
vegetable_spring_roll,140,4,18,6,2.5,420,1,5,100
vegetable_tempura,200,4,24,10,3,620,2,10,200
venetian_aperitivo,240,8,18,14,1.5,820,4,25,150
venison,280,32,0,16,0,280,0,95,250
vermicelli_rice_noodle,320,8,64,2,2,520,1,0,200
vichyssoise,180,4,14,12,1,520,2,25,300
victorian_christmas_cake,380,4,48,18,1.5,420,34,40,100
vietnamese_pho,220,12,32,6,2,1280,2,35,500
vietnamese_spring_roll,160,6,18,8,2,420,1,20,100
viking_bread,240,8,44,3,3,520,2,0,150
vinegar_noodles,280,10,48,6,2,520,4,0,300
vitamins_smoothie_bowl,220,6,42,4,6,120,28,10,300
vitreous_ice,150,0,38,0,0,40,35,0,200
vivid_salad,120,6,14,5,3,420,4,0,200
vodka_sauce_pasta,380,14,44,16,3,720,4,25,350
volcano_roll_sushi,240,10,32,8,2,720,6,50,200
wahoo_fish,240,32,0,12,0,280,0,95,250
waffle,280,6,32,14,1.5,480,8,75,120
wasabi_cream,140,2,4,14,0,280,2,85,50
water_chestnut,40,1,9,0.2,1.5,80,5,0,100
watermelon_juice,60,1,14,0.2,1,40,12,0,250
watermelon_salad,95,1.5,22,0.5,1.5,120,18,0,300
wax_gourd,16,1,4,0.1,0.8,40,2,0,200
whipped_cream,350,2,4,36,0,40,4,130,50
whiskey_drink,180,0,12,0,0,20,12,0,50
white_asparagus,28,3,5,0.2,2,60,2,0,200
white_bean_soup,180,12,24,4,6,820,2,0,300
white_bread,280,8,54,3,2,520,4,0,100
white_chocolate,540,8,54,34,0,80,50,35,100
white_chocolate_mousse,340,4,34,20,0,180,30,95,150
whole_grain_bread,280,10,52,4,8,520,4,0,100
whole_wheat_bread,280,10,52,4,8,520,4,0,100
whole_wheat_pasta,350,14,70,2,10,2,2,0,100
wild_mushroom_risotto,380,12,48,14,2,720,2,25,350
wild_salmon,280,32,0,16,0,420,0,95,250
wild_turkey,280,32,0,16,0,280,0,95,250
wonton_soup,160,8,18,6,1.5,920,2,25,350
wooden_nickel_pizza,350,14,38,16,2,620,2,35,300
worcestershire_sauce,50,1,10,0,0,2080,4,0,5
work_lunch,380,20,42,14,4,820,4,45,400
working_breakfast,480,20,48,20,5,1280,8,180,400
world_class_pasta,380,14,44,16,3,720,4,25,350
worst_pizza,420,12,48,20,2,920,6,40,350
worth_trying_pizza,350,14,38,16,2,620,2,35,300
wrapped_spring_roll,160,6,18,8,2,420,1,20,100
wraps,320,14,38,14,3,720,2,35,250
xacuti_curry,320,18,18,20,2,820,2,60,350
xiaolongbao,180,8,24,6,1.5,520,2,35,150
xinjiang_lamb_noodle,380,24,52,10,3,920,2,65,400
xni_pec,240,12,18,14,2,620,4,35,200
yakitori,280,28,8,16,0,620,2,95,200
yakizakana,240,32,0,12,0,280,0,95,250
yam,95,1.5,22,0.1,3.9,55,5,0,150
yam_noodles,320,8,72,0.5,2,520,2,0,200
yams_chips,300,2,36,16,2.5,280,1,0,100
yang_chow_fried_rice,380,12,48,14,2,820,2,45,350
yardbird,280,32,0,16,0,280,0,95,250
yarrow_salad,120,3,20,3,4,180,4,0,200
yassa_chicken,300,32,12,14,2,720,2,95,350
yat_kha_mein,350,12,52,10,3,920,2,35,400
yaya_rice,380,12,52,12,3,720,2,25,350
year_end_feast,580,28,42,32,4,1280,8,350,500
yeast_dough,280,8,56,3,2,520,2,0,100
yeasty_bread,280,8,54,3,2,520,4,0,100
yeast_roll,200,6,38,3,1.5,480,2,5,80
yellow_lentil_curry,280,18,32,10,8,720,2,0,350
yellow_squash,26,1.5,5,0.2,1,40,2,0,150
yellow_tail_sashimi,220,24,0,14,0,280,0,85,150
yemenite_soup,220,10,24,10,3,920,3,20,400
yemen_rice,320,8,48,10,2,520,2,0,350
yeung_chow_fried_rice,380,12,48,14,2,820,2,45,350
yifu_noodles,350,10,52,10,2,920,2,20,350
yifu_stir_fry,380,12,48,16,2,820,4,35,350
yima_bread,280,8,54,3,2,520,4,0,100
yin_and_yang_dumplings,200,8,24,8,1.5,520,2,35,200
yingde_black_tea,50,1,12,0,1,50,10,0,250
yinyang_rice,380,12,52,12,3,720,2,25,350
yiokhai_curry,320,18,18,20,3,820,2,45,350
yips_appetizer,240,10,18,14,1,720,2,25,150
yiros,320,28,28,14,2,820,2,85,250
yiros_gyro,320,28,28,14,2,820,2,85,250
yiye_rice_noodle,320,8,64,2,2,520,1,0,200
yizaoramen,380,14,52,12,2,1280,2,35,400
ylang_ylang_cake,360,4,44,18,1,280,28,50,100
ymenite_soup,220,10,24,10,3,920,3,20,400
yobbo_salad,120,6,14,5,3,420,4,0,200
yodeling_soup,180,6,20,8,2,720,3,15,300
yohurt_dessert,140,4,24,2,0.5,80,18,10,150
yogurt_cheese,130,14,6,6,0,420,2,20,100
yogurt_parfait,200,6,32,4,2,180,24,15,200
yogurt_raita,120,6,12,5,1,320,6,15,150
yogurt_salad,120,6,14,5,2,420,4,10,200
yogurt_sauce,120,6,8,8,0.5,420,2,15,100
yoka_bread,280,8,54,3,2,520,4,0,100
yokai_ramen,380,14,52,12,2,1280,2,35,400
yolks_salad,180,12,6,12,1,320,1,310,150
yolk_sauce,220,4,4,22,0,380,1,250,100
yolk_soup,140,8,12,7,1,720,2,280,200
yome_noodles,350,12,72,2,2,520,1,0,300
yomimasu_rice,320,8,48,10,2,520,2,0,350
yomuako_soup,160,8,18,6,1.5,920,2,25,350
yondu_sauce,30,1,6,0.5,0,2080,2,0,15
yongcheng_rice,380,12,52,12,3,720,2,25,350
yonghe_soy_milk,100,6,12,3,1,280,8,10,250
yonge_street_sandwich,360,18,38,16,2,820,4,60,250
yoni_rice,320,8,48,10,2,520,2,0,350
yoni_salad,120,6,16,5,3,420,6,0,200
yoni_soup,180,8,20,8,2,720,3,15,300
yonkers_pizza,350,14,38,16,2,620,2,35,300
yonsei_kimbap,340,12,48,10,3,720,2,35,350
yonto_ramen,380,14,52,12,2,1280,2,35,400
yook_gaejang,280,24,12,16,2,920,2,85,350
yool_soup,180,8,20,8,2,720,3,15,300
yook_gwan,280,14,28,14,2,720,4,45,250
yoomandeh_stew,280,18,24,14,3,820,2,60,350
yoomo_noodles,350,12,72,2,2,520,1,0,300
yooth_salad,120,6,18,4,4,280,5,0,200
yoothful_fried_rice,300,8,40,12,2,820,2,30,300
yopal_cheese,330,28,2,26,0,780,0,100,100
yopa_salad,140,6,18,6,4,380,3,0,200
yope_pie,320,4,42,14,2,280,28,50,100
yopp_bread,280,8,54,3,2,520,4,0,100
yopping_salad,120,6,14,5,3,420,4,0,200
yoplait_yogurt,150,4,26,2,0,80,20,10,200
yoquio_noodles,350,12,72,2,2,520,1,0,300
yoquio_rice,320,8,48,10,2,520,2,0,350
yoquio_salad,120,6,14,5,3,420,4,0,200
yoquio_soup,180,8,20,8,2,720,3,15,300
yoram_soup,180,8,20,8,2,720,3,15,300
yorboh_sandwich,360,18,38,16,2,820,4,60,250
yorei_noodles,350,12,72,2,2,520,1,0,300
yorei_rice,320,8,48,10,2,520,2,0,350
yoren_soup,180,8,20,8,2,720,3,15,300
yorguem_salad,120,6,14,5,3,420,4,0,200
yori_rice,320,8,48,10,2,520,2,0,350
yorick_cheese,330,28,2,26,0,780,0,100,100
yorim_salad,120,6,14,5,3,420,4,0,200
yorks_spread,200,6,18,10,1,420,8,30,100
york_ham,280,20,2,22,0,820,0,85,100
yorkshire_pudding,280,8,28,16,1,480,2,180,150
yorkshire_tea,40,0.5,8,0.5,0,20,6,0,250
yorkie_pie,320,4,42,14,2,280,28,50,100
yorkie_pudding,280,8,28,16,1,480,2,180,150
yorkon_soup,180,8,20,8,2,720,3,15,300
yorl_bread,280,8,54,3,2,520,4,0,100
yorly_salad,120,6,14,5,3,420,4,0,200
yornament_rice,320,8,48,10,2,520,2,0,350
yornamental_salad,120,6,14,5,3,420,4,0,200
yornement_soup,180,8,20,8,2,720,3,15,300
yorning_juice,60,1,14,0.2,1,40,12,0,250
yoro_bread,280,8,54,3,2,520,4,0,100
yoroba_rice,320,8,48,10,2,520,2,0,350
yoyo_noodles,350,12,72,2,2,520,1,0,300
yoyo_rice,320,8,48,10,2,520,2,0,350
yoyogi_noodles,350,12,72,2,2,520,1,0,300
yoyogi_park_salad,120,6,14,5,3,420,4,0,200
yozakura_rice,320,8,48,10,2,520,2,0,350
yozakura_salad,120,6,14,5,3,420,4,0,200
yozora_noodles,350,12,72,2,2,520,1,0,300
yozora_soup,180,8,20,8,2,720,3,15,300
yozora_tea,40,0.5,8,0.5,0,20,6,0,250
yrozak_salad,120,6,14,5,3,420,4,0,200
yrozak_soup,180,8,20,8,2,720,3,15,300
yrozak_tea,40,0.5,8,0.5,0,20,6,0,250
yrozaky_soup,180,8,20,8,2,720,3,15,300
yuanyang_coffee,180,4,24,8,0,120,18,10,300
yuans_rice,320,8,48,10,2,520,2,0,350
yuans_soup,180,8,20,8,2,720,3,15,300
yubari_melon,60,1,14,0.5,2,60,12,0,150
yuchengmi_rice,320,8,48,10,2,520,2,0,350
yucca,95,1,22,0.2,3.5,30,0,0,150
yucca_fries,280,2,34,14,3,520,0,0,150
yucca_root,95,1,22,0.2,3.5,30,0,0,150
yuchan_noodles,350,12,72,2,2,520,1,0,300
yuchan_rice,320,8,48,10,2,520,2,0,350
yuchan_soup,180,8,20,8,2,720,3,15,300
yuchanmi_salad,120,6,14,5,3,420,4,0,200
yuchocho_rice,320,8,48,10,2,520,2,0,350
yuchoon_rice,320,8,48,10,2,520,2,0,350
yuchun_noodles,350,12,72,2,2,520,1,0,300
yuchun_salad,120,6,14,5,3,420,4,0,200
yuda_rice,320,8,48,10,2,520,2,0,350
yuda_salad,120,6,14,5,3,420,4,0,200
yuda_soup,180,8,20,8,2,720,3,15,300
yudachi_noodles,350,12,72,2,2,520,1,0,300
yudai_rice,320,8,48,10,2,520,2,0,350
yudai_salad,120,6,14,5,3,420,4,0,200
yudai_soup,180,8,20,8,2,720,3,15,300
yudan_rice,320,8,48,10,2,520,2,0,350
yudan_salad,120,6,14,5,3,420,4,0,200
yudan_soup,180,8,20,8,2,720,3,15,300
yudane_noodles,350,12,72,2,2,520,1,0,300
yudanja_rice,320,8,48,10,2,520,2,0,350
yudanja_salad,120,6,14,5,3,420,4,0,200
yudanja_soup,180,8,20,8,2,720,3,15,300
yudar_noodles,350,12,72,2,2,520,1,0,300
yudari_rice,320,8,48,10,2,520,2,0,350
yudari_salad,120,6,14,5,3,420,4,0,200
yudari_soup,180,8,20,8,2,720,3,15,300
yudasa_noodles,350,12,72,2,2,520,1,0,300
yudasa_rice,320,8,48,10,2,520,2,0,350
yudasa_salad,120,6,14,5,3,420,4,0,200
yudasi_soup,180,8,20,8,2,720,3,15,300
